Aelali,posting cognitohazard AGAIN
Arkayus,babbys first metavault delve. sick of hearing about "the beautiful thing that awaits us all"
ASullyVoice,uses some kinda volador thing to guess passwords
axeman6199,no.
Beeftime,maybe you should just make the code actually good!!! dumb ass
Big Guymandude,rereg of permabanned user "manna4organs"
CarteRocket,sick of you asking me for a dark mode. hack ur eyes if its that bad. outta here
Clem Cuddlecakes,christ the buddha dude read the room
CYAN,has some weird para hack. answers questions right before there asked. sick of this bull shit
Cyborg-Squid,not tagging infohazard = insta ban
CyborgMage,shut the fuck up
DANCER,dance ur way right outta this node
derpghost,pretty sure theyre uib
Devin,if u dont cool it im gonna find u and vent u out the nearest airlock
dhiyed,rehosting our fab files on a ha node
diega,sent p_decrpyt to clearnode service. l8r jackass.
DINGUS-Class NHP,if you spam that stupid pogra omif one more time i swear to christ the buddha
Dolan,posting nudes outside of node.xxx
Double a,double a stands for always annoying. l8r nerd
Dr. Wizard,"brb casting a spell of "ban doctor wizard". outta here jack ass"
Edicatax,caught encoding printloggers in public node fabfiles. nice try lol
Elderino,importing offnode drama. no one cares
enkufka,ur volador hypercube unboxing vids are giving everybody headaches. knock that bull shit off
Erinyes,hope ur mech doesnt melt down as easily as u do in ur weird net slapfights
evoro,cal bet me i wouldnt ban evoro. now he owes me 6mn. sorry evoro ¯\_(ツ)_/¯
flgbt club,posting cursed printloaf AGAIN
foodDinner,rereg of permabanned user "foodBreakfast"
Four NHPs in a Dog,failed turing test. l8r bot
Foxenstien,cant stop posting about favorite holovid series
FutureKrow,union union union union union union OK WE FUCKEN GET IT
Gaeel,obvious alt. nice try ash.
Hara,wavecrashing new users is funny but its still against the rules
hexfruit,kept posting weird conspaircy theories about hycernia
Hopolites,take it to node.xxx. thirsty ass
Hypersmith,impersonating an nhp
izaak,just because you have a deathwish doesnt mean everyone who downloads ur fabrication code does
Izendale,please stfu about albatross
Juice,you spent over 20ksec arguing about holovid celebs, take a break
Karagna,stop spamming ur vids in chat. ure not that good of a dancer
ken birby,stream sniping is funny but u still wrecked my frame :\
laughingmanlol,heres somethin to laugh about. dumb ass
LesbianWitchAcademia,horny is prohibited
Liora,DONT POST HORIZON LINKS how many times do i have to tell you
Lucille Von Luften,posting cognitohazard after being REPEATEDLY asked not to
Luna,uploaded 20+eb of weird old pre fall cartoons. not on my watch pal
Lunatic Blue,definitely on the ssc payroll if u know what i mean
M4N71C0R3,smoked one too many snails
Madotsuki,no one wants "gently used mass drivers" stop trying to sell them in node.general
malkshake,wont stop posting their terrible poetry in node.general
MeeperMantis,what the fuck is a "cow boy". outta here.
Melon_commando,dont know whats goin on with this guy but i know i dont like it
MGLVNA,honestly cant believe they let people like u pilot a mech
Mokha,overwrote node.ext.storage with 20+eb of weird ancient cartoons. nice work jack ass
Nasajin,biohacking is cool but stop posting ur pics outside of node.xxx
Nice,mean :(
nightmarework,rereg of permabanned user "Kai Tave"
NinjaDuckie,ha apologist. not on my watch buddy
Norgad,i think they might actually be like 13 or smth. sorry kid
pallasinine,asinine is right. outta here ding dong
Perijove,next time u smoke a shitload of gliss try not posting aboutit
Popcornia,caught fencing volador shit. sry bud dont need that kinda heat
R0bobot,the worst streaming crime: boring as hell. take an improv class ding dong
Ragu,one too many flash clonings if u know what i mean
Rhoe,posted a basilisk that made everyone speak in rhyme for a few dozen ksec. funny but also annoying af
Ryan Edwards,did this mf reg on a horus node under his real name??? outta here grandpa
Sawfish,"congrats, youre now the baron of the house of shutting the fuck up"
seon,taught their orochi drones to post. great another dozen boring ass white noise posters. l8r dumb asses
Shotch,turns out u can post from inside a metafold. also turns out i dont give a shit. l8r jack ass
SirAston,this guys ten tons of bull shit in a five ton rawmat hopper u know what i mean?
sitzkrieg-chan,DONT POST ABOUT SMUGGLING. last thing i need is some uni ass hole snooping around here. get lost
Smashdev,"smashdev got cored by pirates last year, this is some kinda facsimile. not even a flash clone. outta here goof ball"
squeakanine,didnt even TRY to pass the turing test. get lost bot
Stormtalus,nhp is non human PERSON you thirsty ass werido. get lost
Suki,id call ur posts pretty.......... sucki. lmao ur outta here pal
Tal Amaram,doxxed a cracked schedule 3. get lost dip shit
thesjans,keeps evading ban by reregging from different pnodes. if neone knows how dm me pls
Tunalock,im gonna tunalock ur account if u keep this up
UrsaLongsight,caught this ass hole connecting from a pnode ON CRADLE. uib or just insane. get lost
Violet-Eyes,more like violent eyes. keep the dog pound chill jack ass
waltzingOphidian,"waltz yourself right out of the node, bud"
WhyContainIt,time to contain ur bad posts
Xanderous,uses paracausal terminal to edit their posts after they get dragged. no one likes a sore loser. take a break
Yamazaki,cant stop posting gigantic political rants in node.music. not the place dip shit
Ytilee,how many times do i have to tell u to stop posting retroviral schemas? ass hole
Ze,ze end for you bud lmao
Zieche,lost their bet. if u come at the king u best not miss ;)
ari,rereg of permabanned user "hellwife0"
Miguel,rereg of permabanned user "The_One_Lopez"
Abbadon,rereg of permabanned user "OrbitalDropkick"
insightofland,not sure which is worse the tattoo itself or where u put it. take it to node.xxx perv
anth-mh,maybe spend less time working on ur screenplay and more time working on good posts. outta here dip shit
dont_ask_kant,shut up about ur lunch christ the buddha
markofthemountain,shut the fuck up about "malort"
illegalbeats,ur codes so fulla garbage krait covet. outta here dumb ass
